gene_name	human_gene_id	human_protein_ids	OG_N0	pike_gene_id	salmon_gene_id	ratio	interacting_genes
DCUN1D1	ENSG00000043093	Q96GG9	OG6v0000754.66	ENSELUG00000023829	ENSSSAG00000114514,ENSSSAG00000051316	1:1:2	ENSG00000105258,ENSG00000108094,ENSG00000136352,ENSG00000139842,ENSG00000143514,ENSG00000158290,ENSG00000196865
PSMA7	ENSG00000101182	O14818	OG6v0000902.60	ENSELUG00000016348	ENSSSAG00000045742	1:1:1	ENSG00000090273,ENSG00000126067,ENSG00000129691,ENSG00000139684,ENSG00000143106,ENSG00000204264,ENSG00000205220
KAT2A	ENSG00000108773	Q92830	OG6v0001199.54	ENSELUG00000018495	ENSSSAG00000043811,ENSSSAG00000022875	1:1:2	ENSG00000087152,ENSG00000130699,ENSG00000140396,ENSG00000171148,ENSG00000173011,ENSG00000176476,ENSG00000204406
STXBP1	ENSG00000136854	P61764	OG6v0001218.54	ENSELUG00000009249	ENSSSAG00000007898,ENSSSAG00000078491	1:1:2	ENSG00000099365,ENSG00000103496,ENSG00000117533,ENSG00000118640,ENSG00000135604,ENSG00000168899,ENSG00000178750
FBXL2	ENSG00000153558	Q9UKC9	OG6v0001422.53	ENSELUG00000002746	ENSSSAG00000081026,ENSSSAG00000114854	1:1:2	ENSG00000090238,ENSG00000111206,ENSG00000113558,ENSG00000131725,ENSG00000139174,ENSG00000165219,ENSG00000171435
CCNT1	ENSG00000129315	O60563	OG6v0001820.51	ENSELUG00000006814	ENSSSAG00000054343	1:1:1	ENSG00000072364,ENSG00000136807,ENSG00000137413,ENSG00000144597,ENSG00000172493,ENSG00000213780,ENSG00000225830
PRKAG2	ENSG00000106617	Q9UGJ0	OG6v0001841.53	ENSELUG00000017217	ENSSSAG00000079550,ENSSSAG00000074052	1:1:2	ENSG00000111725,ENSG00000131791,ENSG00000132356,ENSG00000161011,ENSG00000162409,ENSG00000163950,ENSG00000217128
WASL	ENSG00000106299	O00401	OG6v0001850.51	ENSELUG00000005508	ENSSSAG00000078048,ENSSSAG00000072422	1:1:2	ENSG00000115935,ENSG00000122574,ENSG00000125703,ENSG00000125733,ENSG00000180353,ENSG00000187239,ENSG00000213672
GABRR1	ENSG00000146276	P24046	OG6v0001865.51	ENSELUG00000014055	ENSSSAG00000102689,ENSSSAG00000003457	1:1:2	ENSG00000011677,ENSG00000022355,ENSG00000109158,ENSG00000111886,ENSG00000145863,ENSG00000183185,ENSG00000187730
CD9	ENSG00000010278	P21926	OG6v0001931.51	ENSELUG00000022115	ENSSSAG00000106492,ENSSSAG00000070960	1:1:2	ENSG00000102181,ENSG00000103742,ENSG00000110651,ENSG00000134285,ENSG00000163235,ENSG00000163347,ENSG00000177697
TNS1	ENSG00000079308	Q9HBL0	OG6v0001963.50	ENSELUG00000017186	ENSSSAG00000114775,ENSSSAG00000047787	1:1:2	ENSG00000101311,ENSG00000116106,ENSG00000137076,ENSG00000140682,ENSG00000144724,ENSG00000188322,ENSG00000196182
FOXA2	ENSG00000125798	Q9Y261	OG6v0002087.50	ENSELUG00000002913	ENSSSAG00000043357,ENSSSAG00000073018	1:1:2	ENSG00000120093,ENSG00000159184,ENSG00000165588,ENSG00000180353,ENSG00000182742,ENSG00000197576,ENSG00000229544
AURKA	ENSG00000087586	O14965	OG6v0002090.50	ENSELUG00000019389	ENSSSAG00000031237	1:1:1	ENSG00000100056,ENSG00000100221,ENSG00000105373,ENSG00000110075,ENSG00000136122,ENSG00000149503,ENSG00000169914
AP3B2	ENSG00000103723	Q13367	OG6v0002185.49	ENSELUG00000024025	ENSSSAG00000047335	1:1:1	ENSG00000065000,ENSG00000070718,ENSG00000081014,ENSG00000132842,ENSG00000141736,ENSG00000166747,ENSG00000185009
GRIA2	ENSG00000120251	P42262	OG6v0002200.49	ENSELUG00000020476	ENSSSAG00000063801,ENSSSAG00000055905	1:1:2	ENSG00000075429,ENSG00000152208,ENSG00000155511,ENSG00000170558,ENSG00000173114,ENSG00000176884,ENSG00000259207
GABRR3	ENSG00000183185	A8MPY1	OG6v0002270.49	ENSELUG00000020391	ENSSSAG00000077907,ENSSSAG00000002375	1:1:2	ENSG00000011677,ENSG00000022355,ENSG00000109158,ENSG00000111886,ENSG00000145863,ENSG00000146276,ENSG00000187730
DNAJA1	ENSG00000086061	P31689	OG6v0002274.68	ENSELUG00000031126	ENSSSAG00000010182,ENSSSAG00000063267	1:1:2	ENSG00000011485,ENSG00000069345,ENSG00000084754,ENSG00000090273,ENSG00000131711,ENSG00000140403,ENSG00000163507
HEY1	ENSG00000164683	Q9Y5J3	OG6v0002317.49	ENSELUG00000004051	ENSSSAG00000112880,ENSSSAG00000106778	1:1:2	ENSG00000114315,ENSG00000135547,ENSG00000162367,ENSG00000163909,ENSG00000164600,ENSG00000180535,ENSG00000213347
SMARCA5	ENSG00000153147	O60264	OG6v0002382.69	ENSELUG00000014653	ENSSSAG00000074507,ENSSSAG00000002457	1:1:2	ENSG00000009954,ENSG00000073584,ENSG00000099284,ENSG00000113648,ENSG00000140829,ENSG00000157483,ENSG00000198604
PRP4K	ENSG00000112739	Q13523	OG6v0002384.48	ENSELUG00000005167	ENSSSAG00000070531,ENSSSAG00000073172	1:1:2	ENSG00000003756,ENSG00000074964,ENSG00000087087,ENSG00000087365,ENSG00000101161,ENSG00000158545,ENSG00000164609
UBE3A	ENSG00000114062	Q05086	OG6v0002395.48	ENSELUG00000001840	ENSSSAG00000016020,ENSSSAG00000006910	1:1:2	ENSG00000101158,ENSG00000101843,ENSG00000102226,ENSG00000129518,ENSG00000147394,ENSG00000163935,ENSG00000197555
SYT6	ENSG00000134207	Q5T7P8	OG6v0002422.48	ENSELUG00000022087	ENSSSAG00000052678,ENSSSAG00000053772	1:1:2	ENSG00000012048,ENSG00000038358,ENSG00000110975,ENSG00000119401,ENSG00000146232,ENSG00000148334,ENSG00000213023
EPHA3	ENSG00000044524	P29320	OG6v0002589.66	ENSELUG00000007311	ENSSSAG00000066073,ENSSSAG00000055988	1:1:2	ENSG00000099617,ENSG00000116106,ENSG00000135333,ENSG00000145147,ENSG00000145242,ENSG00000180318,ENSG00000243364
PPP6C	ENSG00000119414	O00743	OG6v0002704.47	ENSELUG00000020549	ENSSSAG00000040088,ENSSSAG00000119839	1:1:2	ENSG00000087087,ENSG00000089289,ENSG00000100239,ENSG00000110075,ENSG00000119383,ENSG00000143155,ENSG00000159352
PTK2B	ENSG00000120899	Q14289	OG6v0002794.46	ENSELUG00000005179	ENSSSAG00000051167,ENSSSAG00000039901	1:1:2	ENSG00000050820,ENSG00000089159,ENSG00000100842,ENSG00000110031,ENSG00000138448,ENSG00000140682,ENSG00000151693
ABI1	ENSG00000136754	Q8IZP0	OG6v0002841.46	ENSELUG00000016234	ENSSSAG00000087514,ENSSSAG00000056917	1:1:2	ENSG00000100485,ENSG00000112290,ENSG00000115904,ENSG00000132970,ENSG00000138101,ENSG00000158195,ENSG00000158517
AMBRA1	ENSG00000110497	Q9C0C7	OG6v0002953.45	ENSELUG00000022836	ENSSSAG00000077527,ENSSSAG00000009870	1:1:2	ENSG00000122741,ENSG00000132017,ENSG00000139990,ENSG00000140543,ENSG00000143476,ENSG00000168904,ENSG00000196455
GRIN1	ENSG00000176884	Q05586	OG6v0002966.45	ENSELUG00000016714	ENSSSAG00000063224,ENSSSAG00000095525	1:1:2	ENSG00000075429,ENSG00000116032,ENSG00000120251,ENSG00000148943,ENSG00000198785,ENSG00000204175,ENSG00000237515
KCNK3	ENSG00000171303	O14649	OG6v0003008.45	ENSELUG00000013478	ENSSSAG00000114420,ENSSSAG00000087835	1:1:2	ENSG00000111262,ENSG00000116396,ENSG00000166006,ENSG00000169427,ENSG00000182450,ENSG00000184261,ENSG00000186795
OGN	ENSG00000106809	P20774	OG6v0003034.45	ENSELUG00000001814	ENSSSAG00000068572	1:1:1	ENSG00000018236,ENSG00000120708,ENSG00000120820,ENSG00000136457,ENSG00000136560,ENSG00000175264,ENSG00000198732
E2F3	ENSG00000112242	O00716	OG6v0003038.45	ENSELUG00000002725	ENSSSAG00000103911,ENSSSAG00000108855	1:1:2	ENSG00000007968,ENSG00000101412,ENSG00000104738,ENSG00000114126,ENSG00000139687,ENSG00000169016,ENSG00000205250
TAF4	ENSG00000130699	O00268	OG6v0003189.44	ENSELUG00000005741	ENSSSAG00000081057	1:1:1	ENSG00000108773,ENSG00000118816,ENSG00000120656,ENSG00000137413,ENSG00000148835,ENSG00000180182,ENSG00000197780
ASAP1	ENSG00000153317	Q9ULH1	OG6v0003319.43	ENSELUG00000007471	ENSSSAG00000010357,ENSSSAG00000047800	1:1:2	ENSG00000088280,ENSG00000135596,ENSG00000145920,ENSG00000146090,ENSG00000151693,ENSG00000164024,ENSG00000169398
RPS3	ENSG00000149273	P23396	OG6v0003462.65	ENSELUG00000017575	ENSSSAG00000111902,ENSSSAG00000000673	1:1:2	ENSG00000007080,ENSG00000008988,ENSG00000107223,ENSG00000180353,ENSG00000204628,ENSG00000213741,ENSG00000265241
CDKN1B	ENSG00000111276	P46527	OG6v0003947.40	ENSELUG00000007920	ENSSSAG00000009194	1:1:1	ENSG00000105173,ENSG00000110092,ENSG00000118971,ENSG00000133101,ENSG00000145386,ENSG00000162063,ENSG00000175305
UQCRHL	ENSG00000233954	A0A096LP55	OG6v0004262.38	ENSELUG00000000829	ENSSSAG00000074844	1:1:1	ENSG00000023572,ENSG00000099795,ENSG00000127184,ENSG00000143742,ENSG00000156885,ENSG00000179091,ENSG00000277972
KLHL3	ENSG00000146021	Q9UH77	OG6v0004309.45	ENSELUG00000014442	ENSSSAG00000046126,ENSSSAG00000047284	1:1:2	ENSG00000079999,ENSG00000099910,ENSG00000117153,ENSG00000122550,ENSG00000137692,ENSG00000145332,ENSG00000161011
AMFR	ENSG00000159461	Q9UKV5	OG6v0004313.37	ENSELUG00000005421	ENSSSAG00000056157,ENSSSAG00000072964	1:1:2	ENSG00000051108,ENSG00000072849,ENSG00000078967,ENSG00000134258,ENSG00000135506,ENSG00000184787,ENSG00000274391
BNIP3	ENSG00000176171	Q12983	OG6v0004513.36	ENSELUG00000014315	ENSSSAG00000000255,ENSSSAG00000006088	1:1:2	ENSG00000006695,ENSG00000034713,ENSG00000101236,ENSG00000147654,ENSG00000171552,ENSG00000178307,ENSG00000219200
MCM3	ENSG00000112118	P25205	OG6v0004569.35	ENSELUG00000009016	ENSSSAG00000043532,ENSSSAG00000055449	1:1:2	ENSG00000014138,ENSG00000085840,ENSG00000094804,ENSG00000100297,ENSG00000159147,ENSG00000166508,ENSG00000181938
COQ8A	ENSG00000163050	Q8NI60	OG6v0004588.40	ENSELUG00000024120	ENSSSAG00000073874,ENSSSAG00000070624	1:1:2	ENSG00000069248,ENSG00000088682,ENSG00000106153,ENSG00000110871,ENSG00000119723,ENSG00000165195,ENSG00000189067
PGRMC1	ENSG00000101856	O00264	OG6v0004674.34	ENSELUG00000011570	ENSSSAG00000084963,ENSSSAG00000102775	1:1:2	ENSG00000069702,ENSG00000076984,ENSG00000106803,ENSG00000128463,ENSG00000162236,ENSG00000164040,ENSG00000186480
SH2D1A	ENSG00000183918	O60880	OG6v0004679.35	ENSELUG00000005583	ENSSSAG00000002266	1:1:1	ENSG00000092208,ENSG00000102606,ENSG00000129116,ENSG00000146648,ENSG00000164342,ENSG00000169398,ENSG00000173641
CLSPN	ENSG00000092853	Q9HAW4	OG6v0004871.32	ENSELUG00000023814	ENSSSAG00000054174,ENSSSAG00000078544	1:1:2	ENSG00000065328,ENSG00000075131,ENSG00000093009,ENSG00000100479,ENSG00000111602,ENSG00000149554,ENSG00000163781
ACTL6A	ENSG00000136518	O96019	OG6v0004953.36	ENSELUG00000004543	ENSSSAG00000077723,ENSSSAG00000002898	1:1:2	ENSG00000049618,ENSG00000080503,ENSG00000115274,ENSG00000127152,ENSG00000128908,ENSG00000137693,ENSG00000178028
ASXL1	ENSG00000171456	Q8IXJ9	OG6v0005060.31	ENSELUG00000007145	ENSSSAG00000059630,ENSSSAG00000075717	1:1:2	ENSG00000074266,ENSG00000084754,ENSG00000102098,ENSG00000128951,ENSG00000147162,ENSG00000163930,ENSG00000196924
ILK	ENSG00000166333	Q13418	OG6v0005195.36	ENSELUG00000013028	ENSSSAG00000025451,ENSSSAG00000058977	1:1:2	ENSG00000073712,ENSG00000089159,ENSG00000101311,ENSG00000103423,ENSG00000138964,ENSG00000140682,ENSG00000188677
CABIN1	ENSG00000099991	Q9Y6J0	OG6v0005311.30	ENSELUG00000018444	ENSSSAG00000077158,ENSSSAG00000078116	1:1:2	ENSG00000078053,ENSG00000100084,ENSG00000112773,ENSG00000118900,ENSG00000174016,ENSG00000183508,ENSG00000204371
BUB1	ENSG00000169679	O43683	OG6v0005351.30	ENSELUG00000016600	ENSSSAG00000079189	1:1:1	ENSG00000002822,ENSG00000089053,ENSG00000145386,ENSG00000152669,ENSG00000154473,ENSG00000156970,ENSG00000157456
ANKRD50	ENSG00000151458	Q9ULJ7	OG6v0005354.33	ENSELUG00000022324	ENSSSAG00000003084,ENSSSAG00000073664	1:1:2	ENSG00000009954,ENSG00000083896,ENSG00000104866,ENSG00000111678,ENSG00000118640,ENSG00000144283,ENSG00000186001
IL6ST	ENSG00000134352	P40189	OG6v0005357.30	ENSELUG00000017271	ENSSSAG00000004269,ENSSSAG00000062955	1:1:2	ENSG00000122756,ENSG00000130234,ENSG00000137070,ENSG00000148154,ENSG00000160712,ENSG00000162434,ENSG00000179295
DNTTIP2	ENSG00000067334	Q5QJE6	OG6v0005385.30	ENSELUG00000007775	ENSSSAG00000080634,ENSSSAG00000063813	1:1:2	ENSG00000011260,ENSG00000011295,ENSG00000108651,ENSG00000123737,ENSG00000132467,ENSG00000165733,ENSG00000187051
KRI1	ENSG00000129347	Q8N9T8	OG6v0005409.30	ENSELUG00000010137	ENSSSAG00000005024,ENSSSAG00000070681	1:1:2	ENSG00000068489,ENSG00000088205,ENSG00000109534,ENSG00000111615,ENSG00000147604,ENSG00000147679,ENSG00000174720
DDIT3	ENSG00000175197	P35638	OG6v0005602.30	ENSELUG00000010496	ENSSSAG00000103408,ENSSSAG00000106324	1:1:2	ENSG00000092067,ENSG00000111269,ENSG00000153879,ENSG00000156127,ENSG00000162772,ENSG00000175592,ENSG00000177606
DENR	ENSG00000139726	O43583	OG6v0005631.30	ENSELUG00000002656	ENSSSAG00000005986,ENSSSAG00000080481	1:1:2	ENSG00000000419,ENSG00000107581,ENSG00000120158,ENSG00000140830,ENSG00000148335,ENSG00000152256,ENSG00000168090
RPS11	ENSG00000142534	P62280	OG6v0005645.30	ENSELUG00000020082	ENSSSAG00000024307,ENSSSAG00000064317	1:1:2	ENSG00000071462,ENSG00000089048,ENSG00000115946,ENSG00000134419,ENSG00000140575,ENSG00000148843,ENSG00000188846
SPTAN1	ENSG00000197694	Q13813	OG6v0005702.31	ENSELUG00000021139	ENSSSAG00000056139,ENSSSAG00000042832	1:1:2	ENSG00000005102,ENSG00000070182,ENSG00000071909,ENSG00000139515,ENSG00000160460,ENSG00000173898,ENSG00000180613
KAT6B	ENSG00000156650	Q8WYB5	OG6v0005715.29	ENSELUG00000011754	ENSSSAG00000058630,ENSSSAG00000003755	1:1:2	ENSG00000004487,ENSG00000006712,ENSG00000096070,ENSG00000100425,ENSG00000156983,ENSG00000162063,ENSG00000186111
DOCK2	ENSG00000134516	Q92608	OG6v0005724.29	ENSELUG00000000655	ENSSSAG00000005185,ENSSSAG00000002740	1:1:2	ENSG00000062598,ENSG00000102890,ENSG00000131773,ENSG00000146648,ENSG00000151693,ENSG00000155849,ENSG00000165219
ITGA8	ENSG00000077943	P53708	OG6v0005825.29	ENSELUG00000007486	ENSSSAG00000003604,ENSSSAG00000042854	1:1:2	ENSG00000082781,ENSG00000107731,ENSG00000115221,ENSG00000132470,ENSG00000150093,ENSG00000160255,ENSG00000259207
CENPT	ENSG00000102901	Q96BT3	OG6v0005894.29	ENSELUG00000011726	ENSSSAG00000097699,ENSSSAG00000029006	1:1:2	ENSG00000102384,ENSG00000123219,ENSG00000152253,ENSG00000167842,ENSG00000175279,ENSG00000187790,ENSG00000203760
ATG14	ENSG00000126775	Q6ZNE5	OG6v0005906.29	ENSELUG00000002940	ENSSSAG00000114319,ENSSSAG00000040134	1:1:2	ENSG00000023287,ENSG00000126581,ENSG00000138768,ENSG00000171552,ENSG00000175224,ENSG00000196455,ENSG00000198382
ZBTB7A	ENSG00000178951	O95365	OG6v0005979.29	ENSELUG00000018331	ENSSSAG00000105293	1:1:1	ENSG00000113916,ENSG00000119574,ENSG00000160685,ENSG00000169155,ENSG00000184828,ENSG00000204859,ENSG00000236104
NUP62	ENSG00000213024	P37198	OG6v0006030.31	ENSELUG00000009623	ENSSSAG00000007958,ENSSSAG00000006534	1:1:2	ENSG00000108559,ENSG00000109083,ENSG00000110713,ENSG00000126883,ENSG00000138750,ENSG00000139496,ENSG00000176101
SMARCD3	ENSG00000082014	Q6STE5	OG6v0006038.29	ENSELUG00000007382	ENSSSAG00000055452,ENSSSAG00000111194	1:1:2	ENSG00000049618,ENSG00000073584,ENSG00000080503,ENSG00000139613,ENSG00000166164,ENSG00000177565,ENSG00000189079
DCP1A	ENSG00000272886	Q9NPI6	OG6v0006039.29	ENSELUG00000013077	ENSSSAG00000042193,ENSSSAG00000091187	1:1:2	ENSG00000015285,ENSG00000038358,ENSG00000122705,ENSG00000146278,ENSG00000151065,ENSG00000172795,ENSG00000179151
URI1	ENSG00000105176	O94763	OG6v0006045.30	ENSELUG00000019669	ENSSSAG00000076436,ENSSSAG00000004857	1:1:2	ENSG00000088356,ENSG00000103061,ENSG00000126756,ENSG00000198522,ENSG00000204220,ENSG00000243667,ENSG00000255529
CCNE2	ENSG00000175305	O96020	OG6v0006128.29	ENSELUG00000009552	ENSSSAG00000059043,ENSSSAG00000057367	1:1:2	ENSG00000065054,ENSG00000105810,ENSG00000106004,ENSG00000111276,ENSG00000124762,ENSG00000128045,ENSG00000267796
HEY2	ENSG00000135547	Q9UBP5	OG6v0006155.35	ENSELUG00000020431	ENSSSAG00000102789,ENSSSAG00000088420	1:1:2	ENSG00000114315,ENSG00000117318,ENSG00000162367,ENSG00000163909,ENSG00000164683,ENSG00000180535,ENSG00000260428
PSMB10	ENSG00000205220	P40306	OG6v0006211.29	ENSELUG00000028849	ENSSSAG00000078793,ENSSSAG00000049592	1:1:2	ENSG00000008018,ENSG00000101182,ENSG00000132963,ENSG00000142507,ENSG00000159377,ENSG00000240065,ENSG00000277791
OTUB1	ENSG00000167770	Q96FW1	OG6v0006220.29	ENSELUG00000013376	ENSSSAG00000002679	1:1:1	ENSG00000078967,ENSG00000100359,ENSG00000103152,ENSG00000104343,ENSG00000160087,ENSG00000198492,ENSG00000198833
OAZ1	ENSG00000104904	P54368	OG6v0006263.30	ENSELUG00000018009	ENSSSAG00000009700,ENSSSAG00000061483	1:1:2	ENSG00000113119,ENSG00000115758,ENSG00000118200,ENSG00000120129,ENSG00000147400,ENSG00000148832,ENSG00000213523
RPS27A	ENSG00000143947	P62979	OG6v0006275.29	ENSELUG00000004527	ENSSSAG00000107836,ENSSSAG00000100294	1:1:2	ENSG00000111667,ENSG00000128626,ENSG00000130255,ENSG00000130956,ENSG00000142864,ENSG00000174748,ENSG00000265681
CETN3	ENSG00000153140	O15182	OG6v0006286.29	ENSELUG00000005291	ENSSSAG00000074522,ENSSSAG00000087654	1:1:2	ENSG00000095585,ENSG00000118515,ENSG00000136014,ENSG00000141433,ENSG00000152495,ENSG00000164663,ENSG00000167037
AHCTF1	ENSG00000153207	Q8WYP5	OG6v0006359.28	ENSELUG00000002057	ENSSSAG00000055265,ENSSSAG00000054720	1:1:2	ENSG00000058804,ENSG00000075188,ENSG00000110713,ENSG00000125450,ENSG00000126883,ENSG00000132182,ENSG00000138750
NCOR2	ENSG00000196498	Q9Y618	OG6v0006370.28	ENSELUG00000022053	ENSSSAG00000008028,ENSSSAG00000081631	1:1:2	ENSG00000101745,ENSG00000141027,ENSG00000146247,ENSG00000171720,ENSG00000177565,ENSG00000186432,ENSG00000205363
EPRS1	ENSG00000136628	P07814	OG6v0006422.28	ENSELUG00000019744	ENSSSAG00000002987,ENSSSAG00000071539	1:1:2	ENSG00000106305,ENSG00000115866,ENSG00000124802,ENSG00000145982,ENSG00000160584,ENSG00000166986,ENSG00000196305
BAZ1A	ENSG00000198604	Q9NRL2	OG6v0006466.28	ENSELUG00000003446	ENSSSAG00000070981,ENSSSAG00000077671	1:1:2	ENSG00000102038,ENSG00000104472,ENSG00000141027,ENSG00000148229,ENSG00000153147,ENSG00000159692,ENSG00000170004
RAB3GAP1	ENSG00000115839	Q15042	OG6v0006494.28	ENSELUG00000004956	ENSSSAG00000057384,ENSSSAG00000046103	1:1:2	ENSG00000050820,ENSG00000101558,ENSG00000107897,ENSG00000111670,ENSG00000124209,ENSG00000136770,ENSG00000157212
LAMC2	ENSG00000058085	Q13753	OG6v0006571.28	ENSELUG00000010369	ENSSSAG00000079455,ENSSSAG00000008181	1:1:2	ENSG00000091128,ENSG00000091136,ENSG00000112769,ENSG00000162772,ENSG00000177697,ENSG00000188783,ENSG00000196878
ZC3H18	ENSG00000158545	Q86VM9	OG6v0006601.28	ENSELUG00000014426	ENSSSAG00000121415,ENSSSAG00000006103	1:1:2	ENSG00000008988,ENSG00000083845,ENSG00000087087,ENSG00000112739,ENSG00000126226,ENSG00000128607,ENSG00000185345
LRIG3	ENSG00000139263	Q6UXM1	OG6v0006651.28	ENSELUG00000004212	ENSSSAG00000045467,ENSSSAG00000002443	1:1:2	ENSG00000101363,ENSG00000124145,ENSG00000128242,ENSG00000144749,ENSG00000146648,ENSG00000152954,ENSG00000160183
PRPF40A	ENSG00000196504	O75400	OG6v0006790.28	ENSELUG00000016169	ENSSSAG00000074368,ENSSSAG00000075700	1:1:2	ENSG00000070366,ENSG00000077063,ENSG00000104852,ENSG00000162063,ENSG00000168438,ENSG00000170004,ENSG00000179041
VPS41	ENSG00000006715	P49754	OG6v0006792.28	ENSELUG00000007800	ENSSSAG00000009364,ENSSSAG00000043721	1:1:2	ENSG00000035681,ENSG00000086300,ENSG00000104142,ENSG00000144589,ENSG00000156931,ENSG00000166887,ENSG00000196663
FSTL5	ENSG00000168843	Q8N475	OG6v0006806.28	ENSELUG00000003294	ENSSSAG00000046488,ENSSSAG00000016231	1:1:2	ENSG00000114251,ENSG00000120057,ENSG00000125966,ENSG00000136457,ENSG00000152822,ENSG00000168959,ENSG00000198822
FERMT2	ENSG00000073712	Q96AC1	OG6v0006826.28	ENSELUG00000007294	ENSSSAG00000007557,ENSSSAG00000000215	1:1:2	ENSG00000077420,ENSG00000137076,ENSG00000150093,ENSG00000166333,ENSG00000169398,ENSG00000173166,ENSG00000259207
AP1G1	ENSG00000166747	O43747	OG6v0006833.28	ENSELUG00000013947	ENSSSAG00000078554,ENSSSAG00000081077	1:1:2	ENSG00000006125,ENSG00000100280,ENSG00000103723,ENSG00000106367,ENSG00000119844,ENSG00000129354,ENSG00000132842
WDR75	ENSG00000115368	Q8IWA0	OG6v0006838.28	ENSELUG00000013925	ENSSSAG00000053662,ENSSSAG00000050305	1:1:2	ENSG00000011260,ENSG00000108651,ENSG00000130935,ENSG00000141076,ENSG00000163811,ENSG00000164338,ENSG00000165733
VPS53	ENSG00000141252	Q5VIR6	OG6v0006848.28	ENSELUG00000000270	ENSSSAG00000057051,ENSSSAG00000067026	1:1:2	ENSG00000004766,ENSG00000090989,ENSG00000124222,ENSG00000143952,ENSG00000149823,ENSG00000151532,ENSG00000223501
UFL1	ENSG00000014123	O94874	OG6v0006852.28	ENSELUG00000017701	ENSSSAG00000066588,ENSSSAG00000054425	1:1:2	ENSG00000108465,ENSG00000120686,ENSG00000165525,ENSG00000167526,ENSG00000187051,ENSG00000198171,ENSG00000228474
COG7	ENSG00000168434	P83436	OG6v0006922.28	ENSELUG00000008183	ENSSSAG00000065327,ENSSSAG00000061464	1:1:2	ENSG00000100228,ENSG00000115266,ENSG00000133103,ENSG00000135775,ENSG00000143952,ENSG00000164597,ENSG00000213380
PATZ1	ENSG00000100105	Q9HBE1	OG6v0006955.28	ENSELUG00000002333	ENSSSAG00000080010,ENSSSAG00000116588	1:1:2	ENSG00000101624,ENSG00000112182,ENSG00000113916,ENSG00000115593,ENSG00000156273,ENSG00000164654,ENSG00000170004
DTNA	ENSG00000134769	Q9Y4J8	OG6v0006980.28	ENSELUG00000021517	ENSSSAG00000081677,ENSSSAG00000070459	1:1:2	ENSG00000101400,ENSG00000102385,ENSG00000119326,ENSG00000131626,ENSG00000168807,ENSG00000172164,ENSG00000205363
PALS1	ENSG00000072415	Q8N3R9	OG6v0007018.28	ENSELUG00000023859	ENSSSAG00000003099,ENSSSAG00000066262	1:1:2	ENSG00000104863,ENSG00000107186,ENSG00000111052,ENSG00000115109,ENSG00000132849,ENSG00000137693,ENSG00000148943
WDR43	ENSG00000163811	Q15061	OG6v0007033.28	ENSELUG00000019806	ENSSSAG00000070925,ENSSSAG00000008527	1:1:2	ENSG00000011260,ENSG00000115368,ENSG00000130935,ENSG00000164338,ENSG00000184967,ENSG00000227057,ENSG00000275700
STXBP2	ENSG00000076944	Q15833	OG6v0007091.28	ENSELUG00000011990	ENSSSAG00000005355,ENSSSAG00000042439	1:1:2	ENSG00000099365,ENSG00000103496,ENSG00000117533,ENSG00000118640,ENSG00000135604,ENSG00000168899,ENSG00000178750
RELB	ENSG00000104856	Q01201	OG6v0007110.28	ENSELUG00000000515	ENSSSAG00000092258,ENSSSAG00000052551	1:1:2	ENSG00000077150,ENSG00000100906,ENSG00000109320,ENSG00000146232,ENSG00000162924,ENSG00000164342,ENSG00000173039
BRD7	ENSG00000166164	Q9NPI1	OG6v0007143.28	ENSELUG00000006474	ENSSSAG00000074265,ENSSSAG00000076002	1:1:2	ENSG00000073584,ENSG00000080503,ENSG00000082014,ENSG00000130024,ENSG00000139613,ENSG00000148308,ENSG00000189079
MAP3K3	ENSG00000198909	Q99759	OG6v0007157.28	ENSELUG00000000898	ENSSSAG00000064964,ENSSSAG00000001385	1:1:2	ENSG00000114354,ENSG00000137764,ENSG00000156709,ENSG00000161011,ENSG00000168259,ENSG00000169032,ENSG00000175104
PSMD3	ENSG00000108344	O43242	OG6v0007334.28	ENSELUG00000014100	ENSSSAG00000003553,ENSSSAG00000006800	1:1:2	ENSG00000009844,ENSG00000087191,ENSG00000108671,ENSG00000115233,ENSG00000163636,ENSG00000165219,ENSG00000197170
CREB3L3	ENSG00000060566	Q68CJ9	OG6v0007409.28	ENSELUG00000018885	ENSSSAG00000018991,ENSSSAG00000002670	1:1:2	ENSG00000092067,ENSG00000143578,ENSG00000153879,ENSG00000156127,ENSG00000157613,ENSG00000162772,ENSG00000182158
WAS	ENSG00000015285	P42768	OG6v0007434.28	ENSELUG00000021483	ENSSSAG00000067358,ENSSSAG00000071106	1:1:2	ENSG00000115935,ENSG00000122574,ENSG00000137942,ENSG00000156232,ENSG00000187239,ENSG00000213672,ENSG00000272886
BECN1	ENSG00000126581	Q14457	OG6v0007439.30	ENSELUG00000007074	ENSSSAG00000076527	1:1:1	ENSG00000078142,ENSG00000102445,ENSG00000105443,ENSG00000126775,ENSG00000145016,ENSG00000196455,ENSG00000198382
DCN	ENSG00000011465	P07585	OG6v0007532.28	ENSELUG00000001835	ENSSSAG00000121802,ENSSSAG00000020386	1:1:2	ENSG00000134363,ENSG00000136869,ENSG00000138798,ENSG00000156076,ENSG00000157766,ENSG00000187955,ENSG00000196104
